tree_class,nombre,especie,localidad,crop_code,tipo,n
sapling_large,A001,roble,SANJUAN,SJ1,CLARO,1
sapling_large,A002,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
sapling_large,A003,roble,SANJUAN,SJ1,CLARO,0.6666666666666666
sapling_large,A004,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
sapling_large,A008,roble,SANJUAN,SJ2,CLARO,2.3333333333333335
sapling_large,A017,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
sapling_large,A019,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
sapling_large,A024,roble,SANJUAN,SJ1,ROBLEDAL,1
sapling_large,A026,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
sapling_large,A027,roble,SANJUAN,SJ2,ROBLEDAL,3.3333333333333335
sapling_large,A028,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
sapling_large,A029,roble,SANJUAN,SJ2,ROBLEDAL,1.3333333333333333
sapling_large,A031,roble,SANJUAN,SJ1,ROBLEDAL,2
sapling_large,A032,roble,SANJUAN,SJ1,ROBLEDAL,8
sapling_large,A033,roble,SANJUAN,SJ1,ROBLEDAL,7
sapling_large,A034,roble,SANJUAN,SJ1,ROBLEDAL,2
sapling_large,A035,roble,SANJUAN,SJ1,ROBLEDAL,1.6666666666666667
sapling_large,A036,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_large,A037,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_large,A038,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
sapling_large,A039,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_large,A040,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
sapling_large,A041,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_large,B001,roble,CANAR,CA3,CLARO_BORDE,2.6666666666666665
sapling_large,B002,pino,CANAR,CA3,CLARO_BORDE,0.3333333333333333
sapling_large,B002,roble,CANAR,CA3,CLARO_BORDE,1.6666666666666667
sapling_large,B003,roble,CANAR,CA3,CLARO_BORDE,3
sapling_large,B004,encina,CANAR,CA1,CLARO_BORDE,0.6666666666666666
sapling_large,B004,roble,CANAR,CA1,CLARO_BORDE,1.6666666666666667
sapling_large,B005,roble,CANAR,CA1,CLARO_BORDE,0.3333333333333333
sapling_large,B006,roble,CANAR,CA1,CLARO_BORDE,1.6666666666666667
sapling_large,B008,roble,CANAR,CA2,CLARO_BORDE,5.666666666666667
sapling_large,B010,roble,CANAR,CA2,CLARO_BORDE,7
sapling_large,B011,roble,CANAR,CA2,CLARO_BORDE,2.6666666666666665
sapling_large,C001,roble,SANJUAN,SJ1,CLARO_BORDE,0.6666666666666666
sapling_large,C002,roble,SANJUAN,SJ1,CLARO_BORDE,3.6666666666666665
sapling_large,C003,roble,SANJUAN,SJ1,CLARO_BORDE,2
sapling_large,C004,roble,SANJUAN,SJ2,CLARO_BORDE,2.3333333333333335
sapling_large,C006,roble,SANJUAN,SJ2,CLARO_BORDE,2.6666666666666665
sapling_large,C010,roble,SANJUAN,SJ2,CLARO_BORDE,0.6666666666666666
sapling_large,P001,roble,CANAR,CA1,CLARO,0.3333333333333333
sapling_large,P002,roble,CANAR,CA1,CLARO,1.6666666666666667
sapling_large,P003,encina,CANAR,CA1,CLARO,0.3333333333333333
sapling_large,P003,roble,CANAR,CA1,CLARO,0.6666666666666666
sapling_large,P006,roble,CANAR,CA3,CLARO,1
sapling_large,P007,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
sapling_large,P008,roble,CANAR,CA1,CLARO,0.6666666666666666
sapling_large,P009,roble,CANAR,CA1,CLARO,2.6666666666666665
sapling_large,P010,roble,CANAR,CA1,CLARO,1
sapling_large,P012,roble,CANAR,CA2,CLARO,0.3333333333333333
sapling_large,P013,roble,CANAR,CA2,CLARO,0.3333333333333333
sapling_large,P016,roble,CANAR,CA2,CLARO,1
sapling_large,P017,roble,CANAR,CA2,CLARO,0.6666666666666666
sapling_large,P018,roble,CANAR,CA2,CLARO,0.3333333333333333
sapling_large,P020,roble,CANAR,CA3,CLARO,2
sapling_large,P021,roble,CANAR,CA3,ROBLEDAL,3
sapling_large,P023,roble,CANAR,CA3,ROBLEDAL,7.333333333333333
sapling_large,P024,roble,CANAR,CA2,ROBLEDAL,1.3333333333333333
sapling_large,P026,roble,CANAR,CA3,ROBLEDAL,11.666666666666666
sapling_large,P027,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
sapling_large,P028,roble,CANAR,CA1,ROBLEDAL,2.3333333333333335
sapling_large,P030,roble,CANAR,CA1,ROBLEDAL,0.6666666666666666
sapling_large,P031,roble,CANAR,CA1,ROBLEDAL,6.666666666666667
sapling_large,P033,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
sapling_large,P034,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
sapling_large,P037,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
sapling_small,A024,roble,SANJUAN,SJ1,ROBLEDAL,1.3333333333333333
sapling_small,A027,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_small,A031,roble,SANJUAN,SJ1,ROBLEDAL,0.3333333333333333
sapling_small,A032,roble,SANJUAN,SJ1,ROBLEDAL,1.3333333333333333
sapling_small,A033,roble,SANJUAN,SJ1,ROBLEDAL,5.666666666666667
sapling_small,A034,roble,SANJUAN,SJ1,ROBLEDAL,3.6666666666666665
sapling_small,A035,roble,SANJUAN,SJ1,ROBLEDAL,3.3333333333333335
sapling_small,A036,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_small,A037,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
sapling_small,A038,roble,SANJUAN,SJ2,ROBLEDAL,2
sapling_small,A039,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_small,A040,roble,SANJUAN,SJ2,ROBLEDAL,1
sapling_small,A041,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
sapling_small,B002,roble,CANAR,CA3,CLARO_BORDE,1.3333333333333333
sapling_small,B004,roble,CANAR,CA1,CLARO_BORDE,0.6666666666666666
sapling_small,B005,roble,CANAR,CA1,CLARO_BORDE,0.3333333333333333
sapling_small,B006,roble,CANAR,CA1,CLARO_BORDE,1
sapling_small,B010,roble,CANAR,CA2,CLARO_BORDE,0.6666666666666666
sapling_small,B011,roble,CANAR,CA2,CLARO_BORDE,0.3333333333333333
sapling_small,C002,roble,SANJUAN,SJ1,CLARO_BORDE,1.3333333333333333
sapling_small,C003,roble,SANJUAN,SJ1,CLARO_BORDE,0.3333333333333333
sapling_small,C006,roble,SANJUAN,SJ2,CLARO_BORDE,0.3333333333333333
sapling_small,P003,roble,CANAR,CA1,CLARO,0.6666666666666666
sapling_small,P007,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
sapling_small,P008,roble,CANAR,CA1,CLARO,0.3333333333333333
sapling_small,P009,roble,CANAR,CA1,CLARO,0.3333333333333333
sapling_small,P022,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
sapling_small,P023,roble,CANAR,CA3,ROBLEDAL,0.3333333333333333
sapling_small,P033,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
sapling_small,P038,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_large,A001,roble,SANJUAN,SJ1,CLARO,0.6666666666666666
seedling_large,A002,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
seedling_large,A003,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
seedling_large,A006,roble,SANJUAN,SJ1,CLARO,0.6666666666666666
seedling_large,A008,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
seedling_large,A017,roble,SANJUAN,SJ2,CLARO,1.6666666666666667
seedling_large,A024,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
seedling_large,A027,roble,SANJUAN,SJ2,ROBLEDAL,3
seedling_large,A028,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
seedling_large,A029,roble,SANJUAN,SJ2,ROBLEDAL,3.3333333333333335
seedling_large,A031,roble,SANJUAN,SJ1,ROBLEDAL,2.6666666666666665
seedling_large,A032,roble,SANJUAN,SJ1,ROBLEDAL,1.6666666666666667
seedling_large,A033,roble,SANJUAN,SJ1,ROBLEDAL,3.3333333333333335
seedling_large,A034,roble,SANJUAN,SJ1,ROBLEDAL,3
seedling_large,A035,roble,SANJUAN,SJ1,ROBLEDAL,5.666666666666667
seedling_large,A036,roble,SANJUAN,SJ2,ROBLEDAL,8
seedling_large,A037,roble,SANJUAN,SJ2,ROBLEDAL,8.333333333333334
seedling_large,A038,roble,SANJUAN,SJ2,ROBLEDAL,9.666666666666666
seedling_large,A039,roble,SANJUAN,SJ2,ROBLEDAL,6.333333333333333
seedling_large,A040,roble,SANJUAN,SJ2,ROBLEDAL,13
seedling_large,A041,roble,SANJUAN,SJ2,ROBLEDAL,16
seedling_large,B001,encina,CANAR,CA3,CLARO_BORDE,1
seedling_large,B001,roble,CANAR,CA3,CLARO_BORDE,4.666666666666667
seedling_large,B002,encina,CANAR,CA3,CLARO_BORDE,0.6666666666666666
seedling_large,B002,roble,CANAR,CA3,CLARO_BORDE,3
seedling_large,B003,encina,CANAR,CA3,CLARO_BORDE,1.6666666666666667
seedling_large,B003,roble,CANAR,CA3,CLARO_BORDE,7.666666666666667
seedling_large,B004,encina,CANAR,CA1,CLARO_BORDE,1.6666666666666667
seedling_large,B004,roble,CANAR,CA1,CLARO_BORDE,9.666666666666666
seedling_large,B005,encina,CANAR,CA1,CLARO_BORDE,0.6666666666666666
seedling_large,B005,roble,CANAR,CA1,CLARO_BORDE,7
seedling_large,B006,encina,CANAR,CA1,CLARO_BORDE,2.6666666666666665
seedling_large,B006,roble,CANAR,CA1,CLARO_BORDE,5.666666666666667
seedling_large,B008,encina,CANAR,CA2,CLARO_BORDE,1
seedling_large,B008,roble,CANAR,CA2,CLARO_BORDE,3.3333333333333335
seedling_large,B010,roble,CANAR,CA2,CLARO_BORDE,4.333333333333333
seedling_large,B011,encina,CANAR,CA2,CLARO_BORDE,0.3333333333333333
seedling_large,B011,roble,CANAR,CA2,CLARO_BORDE,3
seedling_large,C001,roble,SANJUAN,SJ1,CLARO_BORDE,2.6666666666666665
seedling_large,C002,roble,SANJUAN,SJ1,CLARO_BORDE,1.3333333333333333
seedling_large,C003,roble,SANJUAN,SJ1,CLARO_BORDE,1.6666666666666667
seedling_large,C004,roble,SANJUAN,SJ2,CLARO_BORDE,1.3333333333333333
seedling_large,C006,roble,SANJUAN,SJ2,CLARO_BORDE,2
seedling_large,C010,roble,SANJUAN,SJ2,CLARO_BORDE,1.6666666666666667
seedling_large,P001,encina,CANAR,CA1,CLARO,1.3333333333333333
seedling_large,P001,roble,CANAR,CA1,CLARO,2.3333333333333335
seedling_large,P002,encina,CANAR,CA1,CLARO,0.6666666666666666
seedling_large,P002,roble,CANAR,CA1,CLARO,1.3333333333333333
seedling_large,P003,encina,CANAR,CA1,CLARO,3.3333333333333335
seedling_large,P003,roble,CANAR,CA1,CLARO,4.666666666666667
seedling_large,P004,encina,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P005,pino,CANAR,CA3,CLARO,0.3333333333333333
seedling_large,P005,roble,CANAR,CA3,CLARO,1.3333333333333333
seedling_large,P006,pino,CANAR,CA3,CLARO,0.6666666666666666
seedling_large,P007,roble,CANAR,CA2,ROBLEDAL,4
seedling_large,P008,encina,CANAR,CA1,CLARO,1
seedling_large,P008,roble,CANAR,CA1,CLARO,2.3333333333333335
seedling_large,P009,encina,CANAR,CA1,CLARO,1
seedling_large,P009,roble,CANAR,CA1,CLARO,6.333333333333333
seedling_large,P010,encina,CANAR,CA1,CLARO,1.3333333333333333
seedling_large,P010,roble,CANAR,CA1,CLARO,2
seedling_large,P011,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P012,encina,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P012,roble,CANAR,CA2,CLARO,0.6666666666666666
seedling_large,P013,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P015,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P016,roble,CANAR,CA2,CLARO,0.6666666666666666
seedling_large,P017,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P018,roble,CANAR,CA2,CLARO,1
seedling_large,P020,encina,CANAR,CA3,CLARO,0.6666666666666666
seedling_large,P020,roble,CANAR,CA3,CLARO,5.333333333333333
seedling_large,P021,encina,CANAR,CA3,ROBLEDAL,0.3333333333333333
seedling_large,P021,roble,CANAR,CA3,ROBLEDAL,5.333333333333333
seedling_large,P022,roble,CANAR,CA2,ROBLEDAL,1.3333333333333333
seedling_large,P023,encina,CANAR,CA3,ROBLEDAL,0.6666666666666666
seedling_large,P023,roble,CANAR,CA3,ROBLEDAL,7
seedling_large,P024,encina,CANAR,CA2,ROBLEDAL,0.6666666666666666
seedling_large,P024,roble,CANAR,CA2,ROBLEDAL,3
seedling_large,P026,encina,CANAR,CA3,ROBLEDAL,0.3333333333333333
seedling_large,P026,roble,CANAR,CA3,ROBLEDAL,3.3333333333333335
seedling_large,P027,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_large,P027,roble,CANAR,CA2,ROBLEDAL,9.333333333333334
seedling_large,P028,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
seedling_large,P031,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
seedling_large,P033,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
seedling_large,P034,encina,CANAR,CA3,ROBLEDAL,1.3333333333333333
seedling_large,P034,roble,CANAR,CA3,ROBLEDAL,8.666666666666666
seedling_large,P037,roble,CANAR,CA2,ROBLEDAL,2.3333333333333335
seedling_large,P038,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_large,P038,roble,CANAR,CA2,ROBLEDAL,12.333333333333334
seedling_small,A008,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
seedling_small,A011,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
seedling_small,A017,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
seedling_small,A018,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
seedling_small,A029,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
seedling_small,A036,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
seedling_small,A037,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
